Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Policy & Community Engagement,AR04,Tutors Costs and Charges,Supplies & Services,31/01/2014,619653,675,Jo Laugharne,15625
EH - Food Safety,RC01,Waste Collection Biffa Variable delivery,Third Party Payments,31/01/2014,619611,3150.16,Biffa Municipal Ltd,10778
Didcot Arts Centre,RC01,Waste Collection Biffa Fixed All,Third Party Payments,31/01/2014,619611,110806.1,Biffa Municipal Ltd,10778
EH - Env Protection,RY01,Waste Collection Biffa Fixed All,Third Party Payments,31/01/2014,619611,154494.65,Biffa Municipal Ltd,10778
EH - Env Protection,RY03,Waste Collection Biffa Fixed All,Third Party Payments,31/01/2014,619611,64298.92,Biffa Municipal Ltd,10778
Didcot Growth Point Team,ST01,Waste Collection Biffa Fixed All,Third Party Payments,31/01/2014,619611,85278.02,Biffa Municipal Ltd,10778
MFDS,CP99,Waste Collection Biffa Fixed All,Third Party Payments,31/01/2014,619611,520.74,Biffa Municipal Ltd,10778
Didcot Growth Point Team,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,31/01/2014,3031751,2012.83,A C Green Plumbing & Heating,15184
Rent Deposit Scheme,X890,Miscellaneous Holding Account,Appropriations and other non Cipfa Sub Group Accounts,2014-01-02,3031758,836.99,Sundry Supplier,99999
Central Planning,TR12,Staff training,Employees,2014-03-02,619662,3110,House Consulting Limited,15579
Economic Development,TR02,Staff training,Employees,2014-03-02,1002091,790,Advanced Business Solutions,12588
Recycling,LS01,Books and Publications,Supplies & Services,2014-03-02,619661,2207,Thomson Reuters,15380
Rent Deposit Scheme,PP01,Consultants-Projects,Supplies & Services,2014-03-02,619663,2000,Berkshire Buckinhamshire and Oxfordshire Wildlife Trust,13682
Rent Deposit Scheme,AR04,Performers Fees and Charges,Supplies & Services,2014-04-02,1002095,821.5,HW Records Ltd,15726
Rent Deposit Scheme,LC01,Payments to other local authorities,Third Party Payments,2014-04-02,3031726,510,Oxfordshire County Council,13934
Rent Deposit Scheme,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2014-04-02,619678,25720,Catalyst Housing Group,12412
EH - Env Protection,BM01,Purchase of office furniture,Supplies & Services,2014-05-02,619631,20676.72,Zumtobel Lighting Ltd,15729
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,2014-05-02,3031750,1184.31,Vodafone Limited Corporate,10784
CCTV,EH02,Professional,Supplies & Services,2014-05-02,619681,4388,Hobs Reprographics PLC,15734
EH - Env Protection,CE99,Software support and maintenance,Supplies & Services,2014-05-02,619684,664,Nameless,14413
EH - Env Protection,CE99,Software support and maintenance,Supplies & Services,2014-05-02,619683,664,Nameless,14413
Personnel Administration,AR04,Performers Fees and Charges,Supplies & Services,2014-05-02,1002101,829.79,House,15266
Facilities Management,CP98,Purchase of equipment,Supplies & Services,2014-05-02,1002104,750,Arco Limited,10048
PC & Intelligent Terminals,A260,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2014-05-02,619675,92602.35,Facilitas SMC,11233
EH - Env Protection,AR04,Contract Cleaning,Premises,2014-06-02,619682,1557.7,Calber Facilities Management Ltd,14490
Electoral Registration,AR04,Performers Fees and Charges,Supplies & Services,2014-06-02,619693,2015.28,Seabright Productions Limited,13777
Facilities Management,RE01,Software support and maintenance,Supplies & Services,2014-06-02,619702,7120.53,Halarose Limited,10299
Car Park Operations,EH06,Dog warden services,Supplies & Services,2014-06-02,3031773,1292.39,REDACTED-SENSITIVE INFORMATION,14674
Car Park Operations,CM03,Grounds maintenance adhoc,Third Party Payments,2014-06-02,1002110,742.64,Horticultural Services by Sodexo,15002
Car Parks third party,LE15,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2014-06-02,619705,1485,Max Solution Associates Limited,12344
EH - Env Protection,LE15,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2014-06-02,619705,1485,Max Solution Associates Limited,12344
Commercial Sites,LE15,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2014-06-02,619705,1485,Max Solution Associates Limited,12344
Restaurant,DN01,Agency staff,Employees,2014-07-02,619722,3778.6,Jeremy Peter Associates,15348
Legal,ED00,Strategic Property Advice,Supplies & Services,2014-07-02,619709,9500,DTZ Debenham Tie Leung Ltd,11884
Land Charges,EH06,Consultants-Projects,Supplies & Services,2014-07-02,3031636,11840,Ground Gas Solutions Ltd,15713
PC & Intelligent Terminals,EH03,Miscellaneous-Projects,Supplies & Services,2014-07-02,619691,12000,Ricardo-AEA Ltd,10024
Legal,CB01,Consultation Corporate Strategy,Supplies & Services,2014-07-02,1002115,7600,iPerform Systems Limited,15701
Central Planning,AR04,Performers Fees and Charges,Supplies & Services,2014-08-02,3031770,2075,Alan Bearman Music,13677
CCTV,HM01,Nightly Paid Accomodation,Supplies & Services,2014-08-02,3031791,5778.33,REDACTED-SENSITIVE INFORMATION,15133
Facilities Management,HA01,Other expenses,Supplies & Services,2014-08-02,619704,2220,OPC Drain Services,10506
Facilities Management,TM01,Communications - Postages,Supplies & Services,2014-08-02,3031795,2667.14,Royal Mail Group plc,10608
Community Partnerships,PC01,Pest control services,Supplies & Services,2014-10-02,3031792,1546,Total Pest Control UK Ltd,13703
Development Management,OP01,Consultants-Projects,Supplies & Services,2014-10-02,619727,675,Robinsons Trees Ltd,14589
Didcot Arts Centre,LS01,Legal services,Supplies & Services,2014-10-02,1002119,1110,Sharpe Pritchard,10629
Commercial Sites,OP01,Grounds Maintenance Contract,Third Party Payments,2014-10-02,619687,6395.07,Horticultural Services by Sodexo,15002
Facilities Management,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031781,600,SOHA Housing Ltd,10651
Housing Team,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031781,28686.89,SOHA Housing Ltd,10651
Fit for the Future,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031781,-600,SOHA Housing Ltd,10651
Recycling,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031782,3719.41,SOHA Housing Ltd,10651
Didcot Arts Centre,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031782,-600,SOHA Housing Ltd,10651
Accountancy,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031783,3639.85,SOHA Housing Ltd,10651
Partnerships and community safety,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031783,-600,SOHA Housing Ltd,10651
Sports Externally Funded,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031784,3986.79,SOHA Housing Ltd,10651
Telecommunications,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031784,518.28,SOHA Housing Ltd,10651
Car Park Operations,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031784,-600,SOHA Housing Ltd,10651
Facilities Management,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031785,-600,SOHA Housing Ltd,10651
Accountancy,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031785,3726.09,SOHA Housing Ltd,10651
Accountancy,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031786,-600,SOHA Housing Ltd,10651
Legal,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031786,3773.72,SOHA Housing Ltd,10651
Car Park Operations,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031787,5013.27,SOHA Housing Ltd,10651
Office Cleaning,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031787,600,SOHA Housing Ltd,10651
Big Move,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031787,-600,SOHA Housing Ltd,10651
Legal,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031788,-600,SOHA Housing Ltd,10651
Telecommunications,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031788,600,SOHA Housing Ltd,10651
Homelessness Nightly Paid,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031788,10944.49,SOHA Housing Ltd,10651
PC & Intelligent Terminals,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,3031789,2574.09,Mears Home Improvement Limited,14703
Partnerships and community safety,X850,Other S106 Developers Contributions,Appropriations and other non Cipfa Sub Group Accounts,2014-10-02,619726,33076,Oxfordshire County Council,10845
Partnerships and community safety,CE99,Agency staff,Employees,2014-11-02,3031804,1058.46,Champion Recruitment,10148
Home Improvement Agency (was Staying Put),CE99,Agency staff,Employees,2014-11-02,3031805,1005.23,Champion Recruitment,10148
Homelessness Nightly Paid,BC01,Agency staff,Employees,2014-11-02,3031818,4966.5,Champion Recruitment,10148
Homelessness Nightly Paid,CE99,Agency staff,Employees,2014-11-02,3031823,2325.96,Champion Recruitment,10148
Internet/Intranet,CE70,Communications - Telephones & Fax,Supplies & Services,2014-11-02,3031796,1680.9,ProcessFlows UK Ltd,10876
EH - Food Safety,AC03,Other insurance,Supplies & Services,2014-11-02,3031746,10709,Sundry Supplier,99999
Car Park Operations,DR05,Professional,Supplies & Services,2014-11-02,1002122,3533,Abingdon DAMASCUS Youth Project (DYP),15390
Car Park Operations,CE70,Computer Maintenance of hardware,Supplies & Services,2014-11-02,1002124,5129.46,Vale of White Horse District Council,10774
Didcot Arts Centre,ES01,Capita Contract,Third Party Payments,2014-11-02,1002121,2060.45,Capita Business Services,10129
Didcot Arts Centre,AC02,Capita Contract,Third Party Payments,2014-11-02,1002121,3226.88,Capita Business Services,10129
Legal,RB05,Capita Contract,Third Party Payments,2014-11-02,1002121,76878.64,Capita Business Services,10129
Policy Team,RB03,Capita Contract,Third Party Payments,2014-11-02,1002121,49127.75,Capita Business Services,10129
Didcot Arts Centre,RB02,Capita Contract,Third Party Payments,2014-11-02,1002121,8248.19,Capita Business Services,10129
Big Move,ES03,Capita Contract,Third Party Payments,2014-11-02,1002121,2715.66,Capita Business Services,10129
Telecommunications,ES02,Capita Contract,Third Party Payments,2014-11-02,1002121,2274.52,Capita Business Services,10129
EH - Food Safety,PY01,Capita Contract,Third Party Payments,2014-11-02,1002121,4269.58,Capita Business Services,10129
Computer Administration,DN01,Agency staff,Employees,2014-12-02,3031099,-3239.94,Champion Recruitment,10148
Computer Administration,DN01,Agency staff,Employees,2014-12-02,3030924,1313.76,Champion Recruitment,10148
Didcot Arts Centre,DN01,Agency staff,Employees,2014-12-02,3031815,1950.48,Champion Recruitment,10148
Excess charges,AD02,Agency staff,Employees,2014-12-02,3031816,1090.52,Champion Recruitment,10148
Didcot Arts Centre,BC01,Agency staff,Employees,2014-12-02,3031817,6099.7,Champion Recruitment,10148
Electoral Registration,PA01,Agency staff,Employees,2014-12-02,3031819,1887.91,Champion Recruitment,10148
EH - Env Protection,DN01,Agency staff,Employees,2014-12-02,3031822,3048.5,Champion Recruitment,10148
Economic Development,DN01,Agency staff,Employees,2014-12-02,3031820,640.2,Champion Recruitment,10148
EH - Env Protection,PP01,Agency staff,Employees,2014-12-02,3031814,5719.74,Champion Recruitment,10148
EH - Air Quality,MP11,Consultants-Projects,Supplies & Services,2014-12-02,619743,1150,Monson Engineering Ltd,14359
Policy & Community Engagement,HM01,Nightly Paid Accomodation,Supplies & Services,2014-12-02,3031827,1120,REDACTED-SENSITIVE INFORMATION,10535
Didcot Arts Centre,HM01,Nightly Paid Accomodation,Supplies & Services,2014-12-02,3031828,1120,REDACTED-SENSITIVE INFORMATION,10535
Homelessness Nightly Paid,CE10,Software support and maintenance,Supplies & Services,2014-12-02,619748,9999,Aligned Assets,14991
Housing Act Works (was HAW Nuffield),AU02,Audit Fees,Supplies & Services,2014-12-02,619755,20037,Ernst & Young LLP,15300
Communications & Publicity,FM01,Materials & consumables,Supplies & Services,2014-12-02,619703,537.6,Jewson Limited,10392
Pest Control Service,AR04,Publicity and promotion costs,Supplies & Services,2014-12-02,619616,985,2g Ltd,15166
Parks and Open Spaces,DP01,Hire of equipment,Supplies & Services,2014-12-02,619652,7197.9,Neopost Ltd,14134
Legal,CB01,Consultation Corporate Strategy,Supplies & Services,2014-12-02,619674,12658.33,MEL Research Ltd,10848
Telecommunications,CP99,Cash banking and debt collection services,Supplies & Services,2014-12-02,619738,1569.27,Jade Security Services Ltd,10388
General Expenses,HL01,Fees and hired services,Supplies & Services,2014-12-02,1002130,900,Diversiti UK,15534
Safer & Stronger Communities Fund,RB05,Capita Contract,Third Party Payments,2014-12-02,619754,1974.5,Capita Business Services,10129
Telecommunications,A260,Purchase of IT hardware,Appropriations and other non Cipfa Sub Group Accounts,2014-12-02,619714,5661,Scalable Communications Plc,10620
Commercial Sites,RC10,Agency staff,Employees,13/02/2014,3031802,1756.81,Champion Recruitment,10148
Homelessness Nightly Paid,RC01,Agency staff,Employees,13/02/2014,3031802,1756.8,Champion Recruitment,10148
Homelessness Nightly Paid,AH02,Agency staff,Employees,13/02/2014,3031803,996.89,Champion Recruitment,10148
PC & Intelligent Terminals,AH10,Agency staff,Employees,13/02/2014,3031803,996.86,Champion Recruitment,10148
External Audit,FM01,Agency staff,Employees,13/02/2014,3031810,1716.94,Champion Recruitment,10148
Facilities Management,AH02,Agency staff,Employees,13/02/2014,3031813,1311.44,Champion Recruitment,10148
Didcot Arts Centre,AH10,Agency staff,Employees,13/02/2014,3031813,1311.44,Champion Recruitment,10148
Post Room,CN01,Agency staff,Employees,13/02/2014,3031839,2970,The Conservation Studio Ltd,14725
Policy & Community Engagement,TM01,Printing External,Supplies & Services,13/02/2014,619751,1285,Berkeley Public Relations International Ltd,15666
Car Park Operations,ED00,Tourism,Supplies & Services,13/02/2014,619758,2887.5,ACK Tourism Limited,15753
Hackney Carriage Licences,RB04,Capita Contract,Third Party Payments,13/02/2014,3031837,19969.74,Capita Business Services,10129
Communications & Publicity,RB04,Capita Contract,Third Party Payments,13/02/2014,3031837,1064.75,Capita Business Services,10129
Economic Development,LD01,Engineering Support -Monson,Third Party Payments,13/02/2014,619760,3500,Monson Engineering Ltd,10466
Didcot Arts Centre,LC01,Payments to other local authorities,Third Party Payments,13/02/2014,1002133,608,Oxfordshire County Council,13934
S106 Receipts,A232,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,13/02/2014,3031830,1897,Great Haseley Village Hall,11454
Procurement,X805,Henley / OCC Car parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,13/02/2014,3031832,6069.7,Henley On Thames Town Council,10316
EH - Env Protection,TM01,Agency staff,Employees,14/02/2014,3031845,798.68,Champion Recruitment,10148
Facilities Management,TM10,Agency staff,Employees,14/02/2014,3031845,798.69,Champion Recruitment,10148
Policy Team,HO01,Agency staff,Employees,14/02/2014,3031809,1363.69,Champion Recruitment,10148
